artist_action,existing_artist_id,artist_name,legal_name_if_different,instruments,stint_start,stint_end,start_year,start_month,start_day,end_year,end_month,end_day,source_name,source_date_token
CREATE_NEW,,Cleo Davis,,"guitar, mandolin",8/1938,9/1940,1938,8,,1940,9,,"Davis, Cleo",8/1938-9/1940
CREATE_NEW,,Tommy Millard,,"jug, bones, spoons",1/1939,4/1939,1939,1,,1939,4,,"Millard, Tommy",1/1939-4/1939
CREATE_NEW,,Art Wooten,,fiddle,1939,1940,1939,,,1940,,,"Wooten, Art","1939-1940, 1941-1942"
CREATE_NEW,,Art Wooten,,fiddle,1941,1942,1941,,,1942,,,"Wooten, Art","1939-1940, 1941-1942"
CREATE_NEW,,Amos Garren,,bass,4/1939,7/1940,1939,4,,1940,7,,"Garren, Amos",4/1939-7/1940
CREATE_NEW,,Tommy Magness,,fiddle,1940,1941,1940,,,1941,,,"Magness, Tommy","1940-1941, 1942-1943"
CREATE_NEW,,Tommy Magness,,fiddle,1942,1943,1942,,,1943,,,"Magness, Tommy","1940-1941, 1942-1943"
CREATE_NEW,,Cousin Wilbur,Bill Wesbrooks,bass,7/1940,1944,1940,7,,1944,,,"Wesbrooks, Bill ""Cousin Wilbur""",7/1940-1944
CREATE_NEW,,Clyde Moody,,"guitar, mandolin",9/6/1940,1941,1940,9,6,1941,,,"Moody, Clyde","9/6/1940-1941, 1942-12/1944"
CREATE_NEW,,Clyde Moody,,"guitar, mandolin",1942,12/1944,1942,,,1944,12,,"Moody, Clyde","9/6/1940-1941, 1942-12/1944"
CREATE_NEW,,Pete Pyle,,guitar,1941,1942,1941,,,1942,,,"Pyle, Pete","1941-1942, 1953"
CREATE_NEW,,Pete Pyle,,guitar,1953,1953,1953,,,1953,,,"Pyle, Pete","1941-1942, 1953"
CREATE_NEW,,Howdy Forrester,Howard Forrester,fiddle,6/1942,10/1942,1942,6,,1942,10,,"Forrester, Howard ""Howdy""","6/1942-10/1942, 12/1945-3/1946"
CREATE_NEW,,Howdy Forrester,Howard Forrester,fiddle,12/1945,3/1946,1945,12,,1946,3,,"Forrester, Howard ""Howdy""","6/1942-10/1942, 12/1945-3/1946"
CREATE_NEW,,Stringbean,David Akeman,banjo,7/1942,9/1945,1942,7,,1945,9,,"Akeman, David ""Stringbean""",7/1942-9/1945
CREATE_NEW,,Carl Story,,fiddle,10/1942,11/1943,1942,10,,1943,11,,"Story, Carl",10/1942-11/1943
CREATE_NEW,,Floyd Ethridge,,fiddle,1943,1943,1943,,,1943,,,"Ethridge, Floyd","1943, 1949"
CREATE_NEW,,Floyd Ethridge,,fiddle,1949,1949,1949,,,1949,,,"Ethridge, Floyd","1943, 1949"
CREATE_NEW,,Sally Ann Forrester,Wilene Forrester,accordion,1943,3/1946,1943,,,1946,3,,"Forrester, Wilene ""Sally Ann""",1943-3/1946
CREATE_NEW,,Chubby Wise,,"fiddle, guitar",3/1943,4/1945,1943,3,,1945,4,,"Wise, Chubby","3/1943-4/1945, 3/1946-1/1948, 9/1949-1/1950"
CREATE_NEW,,Chubby Wise,,"fiddle, guitar",3/1946,1/1948,1946,3,,1948,1,,"Wise, Chubby","3/1943-4/1945, 3/1946-1/1948, 9/1949-1/1950"
CREATE_NEW,,Chubby Wise,,"fiddle, guitar",9/1949,1/1950,1949,9,,1950,1,,"Wise, Chubby","3/1943-4/1945, 3/1946-1/1948, 9/1949-1/1950"
CREATE_NEW,,Curley Bradshaw,,"harmonica, guitar",1944,1945,1944,,,1945,,,"Bradshaw, Curley",1944-1945
CREATE_NEW,,Cedric Rainwater,Howard Watts,bass,1944,4/1945,1944,,,1945,4,,"Watts, Howard ""Cedric Rainwater""","1944-4/1945, 7/1945-8/1945, 3/1946-3/1948, 1951"
CREATE_NEW,,Cedric Rainwater,Howard Watts,bass,7/1945,8/1945,1945,7,,1945,8,,"Watts, Howard ""Cedric Rainwater""","1944-4/1945, 7/1945-8/1945, 3/1946-3/1948, 1951"
CREATE_NEW,,Cedric Rainwater,Howard Watts,bass,3/1946,3/1948,1946,3,,1948,3,,"Watts, Howard ""Cedric Rainwater""","1944-4/1945, 7/1945-8/1945, 3/1946-3/1948, 1951"
CREATE_NEW,,Cedric Rainwater,Howard Watts,bass,1951,1951,1951,,,1951,,,"Watts, Howard ""Cedric Rainwater""","1944-4/1945, 7/1945-8/1945, 3/1946-3/1948, 1951"
CREATE_NEW,,Jim Andrews,,tenor banjo,1945,1945,1945,,,1945,,,"Andrews, Jim",1945
CREATE_NEW,,Andy Boyett,"Andy ""Bijou"" Boyett","bass, guitar",1945,1945,1945,,,1945,,,"Boyett, Andy ""Bijou""",1945
CREATE_NEW,,Birch Monroe,,"bass, fiddle",1945,1947,1945,,,1947,,,"Monroe, Birch",1945-1947
CREATE_NEW,,Lester Flatt,,guitar,3/1945,2/1948,1945,3,,1948,2,,"Flatt, Lester",3/1945-2/1948
CREATE_NEW,,Earl Scruggs,,banjo,12/1945,2/1948,1945,12,,1948,2,,"Scruggs, Earl",12/1945-2/1948
CREATE_NEW,,Jim Eanes,,guitar,3/1948,11/1948,1948,3,,1948,11,,"Eanes, Jim",3/1948-11/1948
CREATE_NEW,,Don Reno,,"banjo, guitar",3/1948,7/1949,1948,3,,1949,7,,"Reno, Don",3/1948-7/1949
CREATE_NEW,,Gene Christian,,"fiddle, bass",1949,1950,1949,,,1950,,,"Christian, Gene",1949-1950
REUSE_EXISTING,29,Vassar Clements,,"fiddle, bass",1949,1950,1949,,,1950,,,"Clements, Vassar","1949-1950, 1955, 1961-1962, 1967"
REUSE_EXISTING,29,Vassar Clements,,"fiddle, bass",1955,1955,1955,,,1955,,,"Clements, Vassar","1949-1950, 1955, 1961-1962, 1967"
REUSE_EXISTING,29,Vassar Clements,,"fiddle, bass",1961,1962,1961,,,1962,,,"Clements, Vassar","1949-1950, 1955, 1961-1962, 1967"
REUSE_EXISTING,29,Vassar Clements,,"fiddle, bass",1967,1967,1967,,,1967,,,"Clements, Vassar","1949-1950, 1955, 1961-1962, 1967"
CREATE_NEW,,Mac Wiseman,,guitar,4/1949,12/1949,1949,4,,1949,12,,"Wiseman, Mac",4/1949-12/1949
REUSE_EXISTING,141,Jimmy Martin,,guitar,12/1949,6/1951,1949,12,,1951,6,,"Martin, Jimmy","12/1949-6/1951, 7/1952-1954"
REUSE_EXISTING,141,Jimmy Martin,,guitar,7/1952,1954,1952,7,,1954,,,"Martin, Jimmy","12/1949-6/1951, 7/1952-1954"
CREATE_NEW,,Gordon Terry,,"fiddle, guitar",1951,1951,1951,,,1951,,,"Terry, Gordon","1951, 1954"
CREATE_NEW,,Gordon Terry,,"fiddle, guitar",1954,1954,1954,,,1954,,,"Terry, Gordon","1951, 1954"
CREATE_NEW,,Carter Stanley,,guitar,7/1951,10/1951,1951,7,,1951,10,,"Stanley, Carter",7/1951-10/1951
CREATE_NEW,,Old Joe Clark,Manuel Clark,comedy,8/1951,8/1951,1951,8,,1951,8,,"Clark, Manuel ""Old Joe""",8/1951
CREATE_NEW,,Sonny Osborne,Roland Osborne,banjo,7/1952,9/1952,1952,7,,1952,9,,"Osborne, Roland ""Sonny""","7/1952-9/1952, 5/1953-8/8/1953"
CREATE_NEW,,Sonny Osborne,Roland Osborne,banjo,5/1953,8/8/1953,1953,5,,1953,8,8,"Osborne, Roland ""Sonny""","7/1952-9/1952, 5/1953-8/8/1953"
CREATE_NEW,,Bessie Lee Mauldin,,bass,1953,1964,1953,,,1964,,,"Mauldin, Bessie Lee",1953-1964
CREATE_NEW,,Bobby Atkins,,banjo,1954,1954,1954,,,1954,,,"Atkins, Bobby","1954, 1958, 6/1961-11/1961"
CREATE_NEW,,Bobby Atkins,,banjo,1958,1958,1958,,,1958,,,"Atkins, Bobby","1954, 1958, 6/1961-11/1961"
CREATE_NEW,,Bobby Atkins,,banjo,6/1961,11/1961,1961,6,,1961,11,,"Atkins, Bobby","1954, 1958, 6/1961-11/1961"
REUSE_EXISTING,92,Bobby Hicks,,"fiddle, banjo, bass, mandolin",1954,9/26/1956,1954,,,1956,9,26,"Hicks, Bobby","1954-9/26/1956, 9/1958-1959"
REUSE_EXISTING,92,Bobby Hicks,,"fiddle, banjo, bass, mandolin",9/1958,1959,1958,9,,1959,,,"Hicks, Bobby","1954-9/26/1956, 9/1958-1959"
CREATE_NEW,,Joe Stuart,,"fiddle, banjo, guitar, bass, mandolin",8/18/1955,1957,1955,8,18,1957,,,"Stuart, Joe","8/18/1955-1957, 1962-1963, 8/1963-11/1963, 6/1970-1973"
CREATE_NEW,,Joe Stuart,,"fiddle, banjo, guitar, bass, mandolin",1962,1963,1962,,,1963,,,"Stuart, Joe","8/18/1955-1957, 1962-1963, 8/1963-11/1963, 6/1970-1973"
CREATE_NEW,,Joe Stuart,,"fiddle, banjo, guitar, bass, mandolin",8/1963,11/1963,1963,8,,1963,11,,"Stuart, Joe","8/18/1955-1957, 1962-1963, 8/1963-11/1963, 6/1970-1973"
CREATE_NEW,,Joe Stuart,,"fiddle, banjo, guitar, bass, mandolin",6/1970,1973,1970,6,,1973,,,"Stuart, Joe","8/18/1955-1957, 1962-1963, 8/1963-11/1963, 6/1970-1973"
CREATE_NEW,,Roger Smith,,"banjo, fiddle",1956,1957,1956,,,1957,,,"Smith, Roger",1956-1957
CREATE_NEW,,Tater Tate,Clarence Tate,"bass, fiddle",9/1956,1957,1956,9,,1957,,,"Tate, Clarence ""Tater""","9/1956-1957, 6/29/1984-1996"
CREATE_NEW,,Tater Tate,Clarence Tate,"bass, fiddle",6/29/1984,1996,1984,6,29,1996,,,"Tate, Clarence ""Tater""","9/1956-1957, 6/29/1984-1996"
CREATE_NEW,,Kenny Baker,,fiddle,1957,1958,1957,,,1958,,,"Baker, Kenny","1957-1958, 1962-6/1963, 3/23/1968-7/1977, 9/1977-10/12/1984"
CREATE_NEW,,Kenny Baker,,fiddle,1962,6/1963,1962,,,1963,6,,"Baker, Kenny","1957-1958, 1962-6/1963, 3/23/1968-7/1977, 9/1977-10/12/1984"
CREATE_NEW,,Kenny Baker,,fiddle,3/23/1968,7/1977,1968,3,23,1977,7,,"Baker, Kenny","1957-1958, 1962-6/1963, 3/23/1968-7/1977, 9/1977-10/12/1984"
CREATE_NEW,,Kenny Baker,,fiddle,9/1977,10/12/1984,1977,9,,1984,10,12,"Baker, Kenny","1957-1958, 1962-6/1963, 3/23/1968-7/1977, 9/1977-10/12/1984"
